name,function,category,subcategory,code_url,resource_url,description,language,link_check
GTFS.org,Producing Data,GTFS,GTFS Courses,https://github.com/google/transit,https://gtfs.org,The community-driven open standard for rider-facing transit information.,EN,Reference source
"MobilityData - ""Understanding GTFS: An intro and overview""",Producing Data,GTFS,GTFS Courses,,https://www.youtube.com/watch?v=SDz2460AjNo,"This video provides an overview of of the General Transit Feed Specification (GTFS) and why it is useful for transit agencies, riders, and policymakers.",EN,Looks good
"World Bank - ""Intro. to GTFS"" online course",Producing Data,GTFS,GTFS Courses,,https://olc.worldbank.org/content/introduction-general-transit-feed-specification-gtfs-and-informal-transit-system-mapping,,EN,Behind login
Open Transit Data Toolkit,Producing Data,GTFS,GTFS Courses,,http://transitdatatoolkit.com/,,EN,Broken
ArcGIS - Introduction to GTFS,Producing Data,GTFS,GTFS Courses,,https://www.youtube.com/watch?v=8OQKHhu1VgQ&t=148s,This video talks about the basic components of GTFS data and how it relates to maps and the ArcGIS workflows we’ll be talking about in this video series.,EN,Looks good
GTFS-books,Producing Data,GTFS,GTFS Courses,https://github.com/MobilityData/GTFS-books,,"This repository contains the source for the following two books:

The Definitive Guide to GTFS (2014), 
The Definitive Guide to GTFS-realtime (2015)",EN,Reference source
MBTA GTFS Onboarding,Producing Data,GTFS,GTFS Courses,,https://mybinder.org/v2/gh/mbta/gtfs_onboarding/main?urlpath=lab/tree/GTFS_Onboarding.ipynb,With Jupyter Notebook,EN,Not sure
"Planetizen ""Building a Transit Map Web App"" course",Producing Data,GTFS,GTFS Courses,,https://courses.planetizen.com/course/building-transit-map-app,"This course examines the entire process of building an interactive, web-based mapping application.",EN,Looks good
Google Transit Developers,Producing Data,GTFS,GTFS Consumer App Guidance,,https://developers.google.com/transit/gtfs/,Google documentation overview ,EN,Looks good
Transit app Guidelines for Producing GTFS Static Data,Producing Data,GTFS,GTFS Consumer App Guidance,,https://resources.transitapp.com/article/458-guidelines-for-producing-gtfs-static-data-for-transit,"Producing GTFS doesn’t have to be a headache! By following a few guidelines, you can make sure that your GTFS data is represented in Transit (and other apps) as intended, and that you’re always providing public transit riders with the best, clearest, and most up-to-date information possible.",EN,Looks good
Bing Maps Transit - Add your transit data to Bing Maps,Producing Data,GTFS,GTFS Consumer App Guidance,,https://www.bing.com/maps/transitcontentproviders,,EN,Looks good
Yandex Maps - Transport integration,Producing Data,GTFS,GTFS Consumer App Guidance,,https://yandex.ru/support/m-maps/transport.html?lang=en#connect-display,,EN,Looks good
CGTFS,Producing Data,GTFS,GTFS Libraries - C,https://github.com/rakhack/cgtfs,,C library to read GTFS feeds,EN,Not sure
RRRR Rapid Real-time Routing,Producing Data,GTFS,GTFS Libraries - C,https://github.com/bliksemlabs/rrrr,,RRRR rapid real-time routing,EN,Looks good
just_gtfs,Producing Data,GTFS,GTFS Libraries - C++,https://github.com/mesozoic-drones/just_gtfs,,C++17 header-only library for reading and writing GTFS 🌍,EN,Looks good
ESRI public-transit-tools,Producing Data,GTFS,GTFS Libraries - C#,https://github.com/Esri/public-transit-tools,,Tools for working with GTFS public transit data in ArcGIS,EN,Looks good
GTFS Feed Parser,Producing Data,GTFS,GTFS Libraries - C#,https://github.com/OsmSharp/GTFS,http://www.itinero.tech/,.NET implementation of a General Transit Feed Specification (GTFS) feed parser.,EN,Looks good
Go GTFS Parser,Producing Data,GTFS,GTFS Libraries - Go,https://github.com/geops/gtfsparser,,A GTFS parsing library for Go,EN,Not sure
OneBusAway GTFS Modules,Producing Data,GTFS,GTFS Libraries - Java,https://github.com/OneBusAway/onebusaway-gtfs-modules/wiki,,"A Java-based library for reading, writing, and transforming public transit data in the GTFS format, including database support.",EN,Looks good
gtfs-sequelize,Producing Data,GTFS,GTFS Libraries - JavaScript,https://github.com/evansiroky/gtfs-sequelize,,A model of the static GTFS using sequelize.,EN,Looks good
gtfs-utils,Producing Data,GTFS,GTFS Libraries - JavaScript,https://github.com/public-transport/gtfs-utils,,Read & analyze GTFS datasets using Node.js.,EN,Looks good
gtfs-via-postgres,Producing Data,GTFS,GTFS Libraries - JavaScript,https://github.com/public-transport/gtfs-via-postgres,,Process GTFS Static/Schedule by importing it into a PostgreSQL database.,EN,Looks good
Node-GTFS,Producing Data,GTFS,GTFS Libraries - JavaScript,https://github.com/BlinkTagInc/node-gtfs,,"Import GTFS transit data into SQLite and query routes, stops, times, fares and more.",EN,Looks good
gtfs-schema,Producing Data,GTFS,GTFS Libraries - PostgreSQL,https://github.com/tyleragreen/gtfs-schema,,PostgreSQL schemas for GTFS feeds.,EN,Deprecated
gtfs-via-postgres,Producing Data,GTFS,GTFS Libraries - PostgreSQL,https://github.com/derhuerst/gtfs-via-postgres,,Process GTFS Static/Schedule by importing it into a PostgreSQL database.,EN,Looks good
gtfsdb,Producing Data,GTFS,GTFS Libraries - Python,https://github.com/OpenTransitTools/gtfsdb,,GTFS ORM using SQLAlchemy,EN,Looks good
gtfs_functions,Producing Data,GTFS,GTFS Libraries - Python,https://github.com/Bondify/gtfs_functions,,Package with useful functions to create geo-spatial visualizations from a GTFS.,EN,Looks good
gtfs-segments,Producing Data,GTFS,GTFS Libraries - Python,https://github.com/UTEL-UIUC/gtfs_segments,https://gtfs-segments.readthedocs.io/en/latest/,GTFS Segments: A fast and efficient library to generate bus stop spacings,EN,Looks good
gtfslib-python,Producing Data,GTFS,GTFS Libraries - Python,https://github.com/afimb/gtfslib-python,,An open source library in python for reading GTFS files and computing various stats and indicators about Public Transport networks,EN,Deprecated
gtfsman,Producing Data,GTFS,GTFS Libraries - Python,https://github.com/geops/gtfsman,,Repository-like tool to manage and update a huge number of GTFS feeds,EN,Looks good
gtfspy,Producing Data,GTFS,GTFS Libraries - Python,https://github.com/CxAalto/gtfspy,,Public transport network analysis using Python,EN,Looks good
GTFS Kit,Producing Data,GTFS,GTFS Libraries - Python,https://github.com/mrcagney/gtfs_kit,,A Python library for analyzing GTFS feeds.,EN,Looks good
Make GTFS,Producing Data,GTFS,GTFS Libraries - Python,https://github.com/mrcagney/make_gtfs,,A Python 3.8+ library to build GTFS feeds from basic route information.,EN,Looks good
Mapzen GTFS,Producing Data,GTFS,GTFS Libraries - Python,https://github.com/transitland/mapzen-gtfs,,Python library for reading and writing GTFS feeds,EN,Looks good
multigtfs,Producing Data,GTFS,GTFS Libraries - Python,https://github.com/tulsawebdevs/django-multi-gtfs,https://tulsawebdevs.org/,Django app to import and export General Transit Feed Specification (GTFS),EN,Looks good
partridge,Producing Data,GTFS,GTFS Libraries - Python,https://github.com/remix/partridge,https://partridge.readthedocs.io/en/stable/,"A fast, forgiving GTFS reader built on pandas DataFrames",EN,Looks good
transit_service_analyst,Producing Data,GTFS,GTFS Libraries - Python,https://github.com/psrc/transit_service_analyst,,Tools to support transit service analysis.,EN,Looks good
TransitGPT,Producing Data,GTFS,GTFS Libraries - Python,https://github.com/UTEL-UIUC/TransitGPT,transitgpt.streamlit.app/,TransitGPT is a specialized chatbot that helps transit enthusiasts retrieve transit information and analyze GTFS feeds via code,EN,Looks good
r-transit,Producing Data,GTFS,GTFS Libraries - R,https://github.com/r-transit,,R package for working with GTFS data,EN,Looks good
gtfsio,Producing Data,GTFS,GTFS Libraries - R,https://github.com/r-transit/gtfsio,https://r-transit.github.io/gtfsio/,Read and Write General Transit Feed Specification (GTFS),EN,Looks good
tidytransit,Producing Data,GTFS,GTFS Libraries - R,https://github.com/r-transit/tidytransit,https://r-transit.github.io/tidytransit/,"Use tidytransit to map transit stops and routes, calculate travel times and transit frequencies, and validate transit feeds. tidytransit reads the General Transit Feed Specification into tidyverse and simple features data frames. ",EN,Looks good
GTFS-viz,Producing Data,GTFS,GTFS Libraries - Ruby,https://github.com/vasile/GTFS-viz,,Converts a GTFS dataset into a SQLite DB + GeoJSONs / KMLs,EN,Looks good
gtfs-structure,Producing Data,GTFS,GTFS Libraries - Rust,https://github.com/rust-transit/gtfs-structure,,This crates brings serde structures of this model and helpers to read GTFS archives.,EN,Looks good
Chouette,Producing Data,GTFS,GTFS Converters,https://enroute.atlassian.net/wiki/spaces/PUBLIC/pages/539426886/Chouette+Convert,,"Chouette Convert is an API to convert a data file into another format (GTFS, NeTEx, Neptune, etc).",EN,Looks good
extract-gtfs-pathways,Producing Data,GTFS,GTFS Converters,https://github.com/derhuerst/extract-gtfs-pathways,,Command-line tool to extract pathways from a GTFS dataset.,EN,Looks good
extract-gtfs-shapes,Producing Data,GTFS,GTFS Converters,https://github.com/derhuerst/extract-gtfs-shapes,,Extract shapes from a GTFS dataset.,EN,Looks good
GTFS-OSM-Sync,Producing Data,GTFS,GTFS Converters,https://github.com/CUTR-at-USF/gtfs-osm-sync,,Synchronizes public transportation data in GTFS format with OpenStreetMap.org,EN,Deprecated
gtfs-parser,Producing Data,GTFS,GTFS Converters,https://github.com/ioTransit/gtfs-parser,,An updated version of gtfs2geojson in typescript,EN,Looks good
gtfs-service-area,Producing Data,GTFS,GTFS Converters,https://github.com/cal-itp/gtfs-service-area,,Compute transit service area from static GTFS.,EN,Deprecated
GTFS-route-shapes,Producing Data,GTFS,GTFS Converters,https://github.com/kotrc/GTFS-route-shapes,,A simple script to generate a single geoJSON shape for each transit route in a GTFS archive.,EN,Looks good
gtfs-to-geojson,Producing Data,GTFS,GTFS Converters,https://github.com/BlinkTagInc/gtfs-to-geojson,,Generate geoJSON of transit route data from a GTFS file.,EN,Looks good
gtfs2gps,Producing Data,GTFS,GTFS Converters,https://github.com/ipeaGIT/gtfs2gps,https://ipeagit.github.io/gtfs2gps/,Convert GTFS data into a data.table with GPS-like records in R,EN,Looks good
gtfs2emis,Producing Data,GTFS,GTFS Converters,https://github.com/ipeaGIT/gtfs2emis,https://ipeagit.github.io/gtfs2emis/,R package to estimate public transport emissions based on GTFS data,EN,Looks good
gtsf,Producing Data,GTFS,GTFS Converters,https://github.com/r-gtfs/gtsf,,NOTE: deprecated. see tidytransit. General Transit - Simple Features,EN,Deprecated
hafas-generate-gtfs,Producing Data,GTFS,GTFS Converters,https://github.com/derhuerst/hafas-generate-gtfs,,[work in progress] – Generate GTFS dumps from HAFAS endpoints.,EN,Looks good
Hafas2GTFS,Producing Data,GTFS,GTFS Converters,https://github.com/geops/hafas2gtfs,,"Hafas2GTFS converter, optimized for SBB HAFAS feeds",EN,Deprecated
kml-to-gtfs-shapes,Producing Data,GTFS,GTFS Converters,https://github.com/bdferris/kml-to-gtfs-shapes/tree/gh-pages,http://bdferris.github.io/kml-to-gtfs-shapes/,Simple utility to convert a KML file into a GTFS shapes.txt file.,EN,Not sure
NeTEx-to-GTFS Converter Java,Producing Data,GTFS,GTFS Converters,https://github.com/entur/netex-gtfs-converter-java,,Convert a NeTEx dataset into a GTFS dataset,EN,Looks good
o2g,Producing Data,GTFS,GTFS Converters,https://github.com/hiposfer/o2g,,Convert a NeTEx dataset into a GTFS dataset,EN,Looks good
Open-Transport SYNTHESE Convertors,Producing Data,GTFS,GTFS Converters,https://github.com/Open-Transport/synthese/wiki,,"SYNTHESE is a public transportation server. It provides network modelling, passenger information, DRT reservation, CMS, real time data updating, and operations optimization.","EN, FR",Deprecated
onebusaway-gtfs-to-barefoot,Producing Data,GTFS,GTFS Converters,https://github.com/OneBusAway/onebusaway-gtfs-to-barefoot,,A Java application that takes a GTFS file and produces a Barefoot map file,EN,Looks good
onebusaway-vdv-modules,Producing Data,GTFS,GTFS Converters,https://github.com/OneBusAway/onebusaway-vdv-modules,,Libraries and tools for working with transit data conforming to the VDV specification.,EN,Looks good
